image,width,height,label,xmin,ymin,xmax,ymax
A01_F03_C074_C_200114_3007_20S_000007.138.jpg,1920,1080,1,441.59,106.39,696.62,521.74
A01_F03_C074_C_200114_3007_20S_000011.118.jpg,1920,1080,1,428.08,97.84,695.85,551.45996
A01_F03_C074_C_200114_3007_20S_000015.639.jpg,1920,1080,1,444.99,143.11,690.74,554.27
A01_F03_C074_C_200117_3008_20S_000001.315.jpg,1920,1080,1,0.01,199.32,438.67,639.46
A01_F03_C074_C_200117_3008_20S_000007.560.jpg,1920,1080,1,3.53,118.1,439.53,633.63
A01_F03_C074_C_200117_3008_20S_000007.647.jpg,1920,1080,1,1.21,119.08,435.28998,648.83
A01_F03_C074_C_200117_3008_20S_000012.051.jpg,1920,1080,1,0.84,157.83,517.37006,642.65
A01_F03_C074_C_200117_3008_20S_000012.642.jpg,1920,1080,1,0.01,199.55,566.61,633.47003
A01_F03_C074_C_200117_3008_20S_000015.893.jpg,1920,1080,1,19.03,203.89,638.42004,631.97
A01_F03_C074_C_200117_3008_20S_000016.105.jpg,1920,1080,1,0.01,204.58,650.23,626.11
A01_F03_C074_C_200117_3008_20S_000019.166.jpg,1920,1080,1,144,216.51,695.43,657.13
A01_F03_C074_C_200117_3009_20S_000000.638.jpg,1920,1080,1,122.52,209.22,749.5,656.75
A01_F03_C074_C_200117_3009_20S_000001.383.jpg,1920,1080,1,127.36,209.75,739.95996,651.82996
A01_F03_C074_C_200117_3009_20S_000001.484.jpg,1920,1080,1,124.2,208.64,737.97003,658.19
A01_F03_C074_C_200117_3009_20S_000002.639.jpg,1920,1080,1,119.5,210.46,736.29,658.77
A01_F03_C074_C_200117_3009_20S_000003.839.jpg,1920,1080,1,118.92,197.37,694.97,659.8
A01_F03_C074_C_200117_3009_20S_000004.150.jpg,1920,1080,1,120.36,184.72,681.76,654.58997
A01_F03_C074_C_200117_3009_20S_000008.541.jpg,1920,1080,1,114.33,123.61,644.21,651.82
A01_F03_C074_C_200117_3009_20S_000009.638.jpg,1920,1080,1,108.11,132.11,621.95,658.92
A01_F03_C074_C_200117_3009_20S_000010.105.jpg,1920,1080,1,108.43,177.28,601.9,659.58997
A01_F03_C074_C_200117_3009_20S_000010.272.jpg,1920,1080,1,105.04,179.31,592.57,660.9
A01_F03_C074_C_200117_3009_20S_000010.571.jpg,1920,1080,1,102.02,204.97,582.11,657.92004
A01_F03_C074_C_200117_3009_20S_000019.165.jpg,1920,1080,1,129.86,200.26,584.36,634.38
A01_F03_C074_C_200117_3009_20S_000019.638.jpg,1920,1080,1,123.24,165.26,589.51,628.65
A01_F03_C074_C_200117_3010_20S_000000.639.jpg,1920,1080,1,133.38,207.22,699.41003,635.23
A01_F03_C074_C_200117_3010_20S_000004.545.jpg,1920,1080,1,255.44,183.28,826.21,719.69995
A01_F03_C074_C_200117_3010_20S_000006.139.jpg,1920,1080,1,260.02,189.62,745.69995,721.27997
A01_F03_C074_C_200117_3010_20S_000008.557.jpg,1920,1080,1,289.98,188.59,691.38,722.01
A01_F03_C074_C_200117_3010_20S_000011.138.jpg,1920,1080,1,308.76,197.88,659.23,721.92
A01_F03_C074_C_200117_3010_20S_000014.639.jpg,1920,1080,1,289.32,116.3,725.96,720.82
A01_F03_C074_C_200117_3010_20S_000016.605.jpg,1920,1080,1,410.64,216.57,908.48,730.26
A01_F03_C074_C_200117_3011_20S_000000.138.jpg,1920,1080,1,145.5,272.91,658.31,1079.78
A01_F03_C074_C_200117_3011_20S_000000.271.jpg,1920,1080,1,145.44,268.42,635.63,1078.22
A01_F03_C074_C_200117_3011_20S_000000.938.jpg,1920,1080,1,152.21,231.37,598.25,1079.0701
A01_F03_C074_C_200117_3011_20S_000003.040.jpg,1920,1080,1,286.77,311.84,714.85,910.87
A01_F03_C074_C_200117_3011_20S_000004.138.jpg,1920,1080,1,305.25,293.37,805.44,871.95
A01_F03_C074_C_200117_3011_20S_000006.141.jpg,1920,1080,1,358.9,274.08,884.27,825.39
A01_F03_C074_C_200117_3011_20S_000006.544.jpg,1920,1080,1,361.25,274.22,899.37,826.37
A01_F03_C074_C_200117_3011_20S_000007.638.jpg,1920,1080,1,364.39,277.2,872.82,798.98004
A01_F03_C074_C_200117_3011_20S_000010.606.jpg,1920,1080,1,417.32,237.07,900.32,758.58
A01_F03_C074_C_200117_3011_20S_000011.607.jpg,1920,1080,1,409.58,235.59,922.74,758.79004
A01_F03_C074_C_200117_3011_20S_000012.604.jpg,1920,1080,1,408.89,204.56,889.54004,759.47
A01_F03_C074_C_200117_3011_20S_000014.106.jpg,1920,1080,1,412.08,210.41,935.36,757.67004
A01_F03_C074_C_200117_3011_20S_000014.874.jpg,1920,1080,1,415.03,189.34,964.35,757.30994
A01_F03_C074_C_200117_3011_20S_000015.027.jpg,1920,1080,1,416.98,154.74,967.14,758.8
A01_F03_C074_C_200117_3011_20S_000016.138.jpg,1920,1080,1,418.62,148.63,964.43,756.94
A01_F03_C074_C_200117_3011_20S_000017.105.jpg,1920,1080,1,414,240.1,929.16,759.56006
A01_F03_C074_C_200117_3012_20S_000000.681.jpg,1920,1080,1,307.34,194.86,631.75,755.26
A01_F03_C074_C_200117_3012_20S_000003.638.jpg,1920,1080,1,282.35,229.03,625.75,747.94995
A01_F03_C074_C_200117_3012_20S_000009.339.jpg,1920,1080,1,394.51,132.45,632.33,712.54004
A01_F03_C074_C_200117_3012_20S_000010.038.jpg,1920,1080,1,393,133.64,632.83997,715.79004
A01_F03_C074_C_200117_3012_20S_000010.141.jpg,1920,1080,1,390.56,135.71,634.19,711.76
A01_F03_C074_C_200117_3012_20S_000010.638.jpg,1920,1080,1,373.62,221.63,638.57,712.47
A01_F03_C074_C_200117_3012_20S_000016.039.jpg,1920,1080,1,407.44,171.38,613.81,711.37
A01_F03_C074_C_200117_3012_20S_000016.139.jpg,1920,1080,1,403.11,177.02,612.49,713.18
A01_F03_C074_C_200117_3013_20S_000000.107.jpg,1920,1080,1,236.24,147.87,616.75,711.24
A01_F03_C074_C_200117_3013_20S_000000.138.jpg,1920,1080,1,237.3,147.87,615.7,709.65
A01_F03_C074_C_200117_3013_20S_000000.172.jpg,1920,1080,1,241.52,147.34,615.69,713.88
A01_F03_C074_C_200117_3013_20S_000000.205.jpg,1920,1080,1,241.63,148.71,617.7,706.79004
A01_F03_C074_C_200117_3013_20S_000000.271.jpg,1920,1080,1,238.64,148.55,616.71,708.73
A01_F03_C074_C_200117_3013_20S_000000.306.jpg,1920,1080,1,241.52,146.81,616.75,711.77
A01_F03_C074_C_200117_3013_20S_000000.338.jpg,1920,1080,1,243.11,147.87,615.69,713.88
A01_F03_C074_C_200117_3013_20S_000000.371.jpg,1920,1080,1,242.35,149.3,616.07,714.97
A01_F03_C074_C_200117_3013_20S_000000.404.jpg,1920,1080,1,240.87,149.65,616.15,712.22
A01_F03_C074_C_200117_3013_20S_000000.439.jpg,1920,1080,1,260.73,144.52,619.22,717.05005
A01_F03_C074_C_200117_3013_20S_000000.473.jpg,1920,1080,1,245.03,147.44,618.32996,716.94
A01_F03_C074_C_200117_3013_20S_000000.542.jpg,1920,1080,1,245.41,147.77,616.95996,715.09
A01_F03_C074_C_200117_3013_20S_000000.573.jpg,1920,1080,1,243.59,147.24,616.17,715.85
A01_F03_C074_C_200117_3013_20S_000000.804.jpg,1920,1080,1,255.66,185.26,617.01,711.11
A01_F03_C074_C_200117_3013_20S_000000.838.jpg,1920,1080,1,256.32,185.92,619.66003,708.45996
A01_F03_C074_C_200117_3013_20S_000000.938.jpg,1920,1080,1,251.13,181.26,619.92004,715.07
A01_F03_C074_C_200117_3013_20S_000001.038.jpg,1920,1080,1,252.55,169.68,620.6,713.27
A01_F03_C074_C_200117_3013_20S_000001.072.jpg,1920,1080,1,259.46,170.43,619.20996,717.69
A01_F03_C074_C_200117_3013_20S_000001.145.jpg,1920,1080,1,257.91,166.89,619.4,685.34
A01_F03_C074_C_200117_3013_20S_000001.190.jpg,1920,1080,1,253.15,166.36,617.81,710.18
A01_F03_C074_C_200117_3013_20S_000001.395.jpg,1920,1080,1,281.98,164.76,617.76,715.79004
A01_F03_C074_C_200117_3013_20S_000001.429.jpg,1920,1080,1,286.02,167.74,618.97,713.14
A01_F03_C074_C_200117_3013_20S_000001.473.jpg,1920,1080,1,269.54,167.84,616.67004,712.74
A01_F03_C074_C_200117_3013_20S_000001.509.jpg,1920,1080,1,268.17,168.71,617.05005,710.41003
A01_F03_C074_C_200117_3013_20S_000001.547.jpg,1920,1080,1,270.51,168.18,617.33,712.21
A01_F03_C074_C_200117_3013_20S_000001.612.jpg,1920,1080,1,268.92,161.93,617.11,716.83997
A01_F03_C074_C_200117_3013_20S_000001.774.jpg,1920,1080,1,264.23,166.55,617.17004,710.88
A01_F03_C074_C_200117_3013_20S_000001.799.jpg,1920,1080,1,266.4,165.03,618.13,712.19995
A01_F03_C074_C_200117_3013_20S_000001.826.jpg,1920,1080,1,265.83,163.72,617.28,712.81995
A01_F03_C074_C_200117_3013_20S_000001.851.jpg,1920,1080,1,264.44,173.65,617.77,709.88
A01_F03_C074_C_200117_3013_20S_000001.878.jpg,1920,1080,1,267.7,173.52,618.94,711.97003
A01_F03_C074_C_200117_3013_20S_000001.909.jpg,1920,1080,1,281.72,173.39,617.49,685.8
A01_F03_C074_C_200117_3013_20S_000001.964.jpg,1920,1080,1,274.8,175.52,617.04,711.48004
A01_F03_C074_C_200117_3013_20S_000001.992.jpg,1920,1080,1,275.69,175.74,616.77,711.37
A01_F03_C074_C_200117_3013_20S_000002.018.jpg,1920,1080,1,278.52,176.93,617.28,712.29
A01_F03_C074_C_200117_3013_20S_000002.139.jpg,1920,1080,1,271.85,175.23,615.37,714.58997
A01_F03_C074_C_200117_3013_20S_000002.172.jpg,1920,1080,1,272.65,176.24,615.61,712.92
A01_F03_C074_C_200117_3013_20S_000002.205.jpg,1920,1080,1,277.46,177.05,616.06995,708.18
A01_F03_C074_C_200117_3013_20S_000002.240.jpg,1920,1080,1,280.63,177.46,622.56,711.23004
A01_F03_C074_C_200117_3013_20S_000002.271.jpg,1920,1080,1,275.88,177.46,615.7,709.65
A01_F03_C074_C_200117_3013_20S_000002.339.jpg,1920,1080,1,273.86,177.51,616.9,712.97003
A01_F03_C074_C_200117_3013_20S_000002.372.jpg,1920,1080,1,272.89,177.06,615.38,713.18
A01_F03_C074_C_200117_3013_20S_000002.439.jpg,1920,1080,1,282.37,179.88,615.32,717.43
A01_F03_C074_C_200117_3013_20S_000002.473.jpg,1920,1080,1,281.43,181.69,615.17,714.41
A01_F03_C074_C_200117_3013_20S_000003.938.jpg,1920,1080,1,311.86,220.76,605.41,714.24
A01_F03_C074_C_200117_3013_20S_000003.972.jpg,1920,1080,1,310.8,218.45,607.03,715.13
A01_F03_C074_C_200117_3013_20S_000004.040.jpg,1920,1080,1,306.53,221.85,603.54004,713.33997
A01_F03_C074_C_200117_3013_20S_000004.073.jpg,1920,1080,1,307.45,220.84,605.24,715.08997
A01_F03_C074_C_200117_3013_20S_000004.111.jpg,1920,1080,1,309.83,221.4,604.39,711.32
A01_F03_C074_C_200117_3013_20S_000004.154.jpg,1920,1080,1,304.41,220.27,607.23,707.54
A01_F03_C074_C_200117_3013_20S_000004.197.jpg,1920,1080,1,302.83,221.85,607.24,708.91003
A01_F03_C074_C_200117_3013_20S_000004.234.jpg,1920,1080,1,304.41,223.44,606.18,716.52
A01_F03_C074_C_200117_3013_20S_000004.381.jpg,1920,1080,1,299.98,223.55,607.56,713.14
A01_F03_C074_C_200117_3013_20S_000004.441.jpg,1920,1080,1,290.67,221.33,609.35,717.05
A01_F03_C074_C_200117_3013_20S_000004.509.jpg,1920,1080,1,289.42,223.73,610.49,715.17
A01_F03_C074_C_200117_3013_20S_000004.543.jpg,1920,1080,1,291.04,223.96,608.92004,714.99
A01_F03_C074_C_200117_3013_20S_000004.605.jpg,1920,1080,1,284.7,222.13,608.73,714.05005
A01_F03_C074_C_200117_3013_20S_000004.633.jpg,1920,1080,1,284.86,222.38,610.41,710.7
A01_F03_C074_C_200117_3013_20S_000004.767.jpg,1920,1080,1,282.35,221.27,613.54004,712.2
A01_F03_C074_C_200117_3013_20S_000004.810.jpg,1920,1080,1,283.12,223.48,610.97,714.41
A01_F03_C074_C_200117_3013_20S_000004.874.jpg,1920,1080,1,288.99,221.47,611.85,711.52
A01_F03_C074_C_200117_3013_20S_000004.929.jpg,1920,1080,1,290.49,221.78,612.52,712.99
A01_F03_C074_C_200117_3013_20S_000004.955.jpg,1920,1080,1,286.17,221.4,611.26,689.19
A01_F03_C074_C_200117_3013_20S_000004.983.jpg,1920,1080,1,284.9,223.82,613.04004,711.49
A01_F03_C074_C_200117_3013_20S_000005.043.jpg,1920,1080,1,284.73,222.25,611.73,715.07
A01_F03_C074_C_200117_3013_20S_000005.106.jpg,1920,1080,1,282.86,222.8,612.53,718.18
A01_F03_C074_C_200117_3013_20S_000005.139.jpg,1920,1080,1,283.44,220.85,611.58,707.70996
A01_F03_C074_C_200117_3013_20S_000005.206.jpg,1920,1080,1,283.75,220.72,610.68,711.12
A01_F03_C074_C_200117_3013_20S_000005.238.jpg,1920,1080,1,284.86,221.85,611.99,717.04004
A01_F03_C074_C_200117_3013_20S_000005.373.jpg,1920,1080,1,285.62,222.76,611.94,719.15
A01_F03_C074_C_200117_3013_20S_000005.471.jpg,1920,1080,1,284.33,220.27,610.41,709.12
A01_F03_C074_C_200117_3013_20S_000005.538.jpg,1920,1080,1,286.03,223.17,611.06,686.69
A01_F03_C074_C_200117_3013_20S_000005.639.jpg,1920,1080,1,285.41,222.29,611.01,717.81
A01_F03_C074_C_200117_3013_20S_000005.705.jpg,1920,1080,1,286.61,222.91,611.02,716.83997
A01_F03_C074_C_200117_3013_20S_000005.739.jpg,1920,1080,1,277.5,220.53,613.27,711.01
A01_F03_C074_C_200117_3013_20S_000005.771.jpg,1920,1080,1,280.59,223.31,612.25,709.94
A01_F03_C074_C_200117_3013_20S_000005.906.jpg,1920,1080,1,272.71,217.84,614.54,710.6
A01_F03_C074_C_200117_3013_20S_000005.938.jpg,1920,1080,1,272.07,220.37,614.53,730.98
A01_F03_C074_C_200117_3013_20S_000006.006.jpg,1920,1080,1,274.82,221.33,615.17004,717.05
A01_F03_C074_C_200117_3013_20S_000006.038.jpg,1920,1080,1,273.76,221.33,615.16003,710.71
A01_F03_C074_C_200117_3013_20S_000006.105.jpg,1920,1080,1,272.43,224.45,615.82996,712.08
A01_F03_C074_C_200117_3013_20S_000006.205.jpg,1920,1080,1,275.41,221.74,616.58,715
A01_F03_C074_C_200117_3013_20S_000006.238.jpg,1920,1080,1,272.64,221.92,618.12,713.77997
A01_F03_C074_C_200117_3013_20S_000006.304.jpg,1920,1080,1,275.94,224.68,616.6,713.06
A01_F03_C074_C_200117_3013_20S_000006.405.jpg,1920,1080,1,272.7,221.85,617.27,714.93
A01_F03_C074_C_200117_3013_20S_000006.438.jpg,1920,1080,1,273.23,220.8,616.75,717.05
A01_F03_C074_C_200117_3013_20S_000006.471.jpg,1920,1080,1,272.18,220.45,618.76,718.38
A01_F03_C074_C_200117_3013_20S_000006.539.jpg,1920,1080,1,268.18,219.85,616.31,710.76
A01_F03_C074_C_200117_3013_20S_000006.571.jpg,1920,1080,1,271.2,221.55,616.36,710.72003
A01_F03_C074_C_200117_3013_20S_000006.638.jpg,1920,1080,1,257.91,217.63,618.87,714.94
A01_F03_C074_C_200117_3013_20S_000006.706.jpg,1920,1080,1,258.96,217.63,618.92,708.54004
A01_F03_C074_C_200117_3013_20S_000006.738.jpg,1920,1080,1,243.87,216.87,622.12,707.61
A01_F03_C074_C_200117_3013_20S_000006.804.jpg,1920,1080,1,241.94,218.64,622.37,716.08
A01_F03_C074_C_200117_3013_20S_000006.837.jpg,1920,1080,1,232.47,216.42,624.94,713.64
A01_F03_C074_C_200117_3013_20S_000006.907.jpg,1920,1080,1,231.99,217.07,625.85,697.72
A01_F03_C074_C_200117_3013_20S_000006.939.jpg,1920,1080,1,235.64,211.43,622.71,687.62
A01_F03_C074_C_200117_3013_20S_000007.438.jpg,1920,1080,1,218.27,192.79,603.54,634.08
A01_F03_C074_C_200117_3013_20S_000007.472.jpg,1920,1080,1,217.21,197.01,603.54,634.6
A01_F03_C074_C_200117_3013_20S_000007.538.jpg,1920,1080,1,223.87,195.64,601.20996,647.18
A01_F03_C074_C_200117_3013_20S_000007.658.jpg,1920,1080,1,218.22,192.64,599.73,635.01
A01_F03_C074_C_200117_3013_20S_000007.749.jpg,1920,1080,1,219.14,195.73,599.65,636.26
A01_F03_C074_C_200117_3013_20S_000007.780.jpg,1920,1080,1,216.5,191.75,599.2,645.52
A01_F03_C074_C_200117_3013_20S_000007.839.jpg,1920,1080,1,222,194.17,599.4,633.31
A01_F03_C074_C_200117_3013_20S_000007.867.jpg,1920,1080,1,220.31,192.62,597.22,632.26
A01_F03_C074_C_200117_3013_20S_000007.930.jpg,1920,1080,1,219.9,190.51,599.03,644.77997
A01_F03_C074_C_200117_3013_20S_000007.960.jpg,1920,1080,1,218.92,190.59,599.43,645.5
A01_F03_C074_C_200117_3013_20S_000008.018.jpg,1920,1080,1,219.86,191.2,597.2,633.02
A01_F03_C074_C_200117_3013_20S_000008.045.jpg,1920,1080,1,222.58,191.81,600.65,646.11
A01_F03_C074_C_200117_3013_20S_000008.139.jpg,1920,1080,1,211.13,186.1,606.04004,631.25
A01_F03_C074_C_200117_3013_20S_000008.217.jpg,1920,1080,1,208.88,189.23,606.69,637.26
A01_F03_C074_C_200117_3013_20S_000008.256.jpg,1920,1080,1,209.29,188.56,608.83,634.6
A01_F03_C074_C_200117_3013_20S_000008.373.jpg,1920,1080,1,210.35,187.97,608.5,635.89
A01_F03_C074_C_200117_3013_20S_000008.432.jpg,1920,1080,1,215.06,189.31,610.49,630.53
A01_F03_C074_C_200117_3013_20S_000008.461.jpg,1920,1080,1,210.95,188.44,609.16,636.15
A01_F03_C074_C_200117_3013_20S_000008.547.jpg,1920,1080,1,205.4,186.16,606.81,636.58
A01_F03_C074_C_200117_3013_20S_000008.608.jpg,1920,1080,1,209.64,187.09,608.36,643.35
A01_F03_C074_C_200117_3013_20S_000009.538.jpg,1920,1080,1,196.3,188.94,598.71,641.18
A01_F03_C074_C_200117_3013_20S_000009.571.jpg,1920,1080,1,196.03,187.6,600.32,645.94
A01_F03_C074_C_200117_3013_20S_000009.638.jpg,1920,1080,1,200.17,183.94,598.52,646.37
A01_F03_C074_C_200117_3013_20S_000009.739.jpg,1920,1080,1,198.19,186.58,599.83997,635.13
A01_F03_C074_C_200117_3013_20S_000009.804.jpg,1920,1080,1,206.8,189.35,602.86,637.30005
A01_F03_C074_C_200117_3013_20S_000009.908.jpg,1920,1080,1,203.95,183.28,603.92,643.79004
A01_F03_C074_C_200117_3013_20S_000009.941.jpg,1920,1080,1,205.59,186.97,601.95996,644.64
A01_F03_C074_C_200117_3013_20S_000010.039.jpg,1920,1080,1,200.1,185.19,603.57,646.62
A01_F03_C074_C_200117_3013_20S_000010.204.jpg,1920,1080,1,196.03,187.79,604.65,634.92
A01_F03_C074_C_200117_3013_20S_000010.238.jpg,1920,1080,1,199.07,189.3,602.53,632.57
A01_F03_C074_C_200117_3013_20S_000010.305.jpg,1920,1080,1,203.96,187.93,602.86,634.01
A01_F03_C074_C_200117_3013_20S_000010.338.jpg,1920,1080,1,204.42,184.41,601.92,643.63
A01_F03_C074_C_200117_3013_20S_000010.405.jpg,1920,1080,1,197.66,184.33,604.07,635.66
A01_F03_C074_C_200117_3013_20S_000010.439.jpg,1920,1080,1,198.75,187,604.13,635.43
A01_F03_C074_C_200117_3013_20S_000010.541.jpg,1920,1080,1,193.07,189.35,603.63,631.95996
A01_F03_C074_C_200117_3013_20S_000010.652.jpg,1920,1080,1,189.04,186.97,602.48,633.91003
A01_F03_C074_C_200117_3013_20S_000010.838.jpg,1920,1080,1,184.84,189.25,605.4,634.12
A01_F03_C074_C_200117_3013_20S_000010.871.jpg,1920,1080,1,181.99,187.07,605.24,645.48
A01_F03_C074_C_200117_3013_20S_000011.038.jpg,1920,1080,1,180.1,188.66,608.06,621.5
A01_F03_C074_C_200117_3013_20S_000011.275.jpg,1920,1080,1,181.16,191.29,610.5,631.24
A01_F03_C074_C_200117_3013_20S_000011.441.jpg,1920,1080,1,177.34,188.85,609.53,631.61
A01_F03_C074_C_200117_3013_20S_000011.579.jpg,1920,1080,1,181.07,192.78,607.03,635.39
A01_F03_C074_C_200117_3013_20S_000011.677.jpg,1920,1080,1,177.05,188.56,607.24,645.7
A01_F03_C074_C_200117_3013_20S_000011.753.jpg,1920,1080,1,183.84,190.01,607.02,632.62
A01_F03_C074_C_200117_3013_20S_000011.828.jpg,1920,1080,1,179.69,189.62,604.07,640.42
A01_F03_C074_C_200117_3013_20S_000011.919.jpg,1920,1080,1,180.8,185.74,606.38,634.22003
A01_F03_C074_C_200117_3013_20S_000012.001.jpg,1920,1080,1,181.8,189.09,603.53,637.25
A01_F03_C074_C_200117_3013_20S_000012.119.jpg,1920,1080,1,186.96,190.87,604.38,632.70996
A01_F03_C074_C_200117_3013_20S_000012.184.jpg,1920,1080,1,188.43,189.98,604.31,644.27997
A01_F03_C074_C_200117_3013_20S_000012.320.jpg,1920,1080,1,177.37,190.95,603.70996,627.9
A01_F03_C074_C_200117_3013_20S_000012.358.jpg,1920,1080,1,178.57,190.87,607.44,636.53
A01_F03_C074_C_200117_3013_20S_000012.427.jpg,1920,1080,1,183.92,186.45,605.13,642.54
A01_F03_C074_C_200117_3013_20S_000013.094.jpg,1920,1080,1,134.89,177.67,596.95,634.71
A01_F03_C074_C_200117_3013_20S_000013.210.jpg,1920,1080,1,147.32,174.69,595.87,647.03
A01_F03_C074_C_200117_3013_20S_000013.249.jpg,1920,1080,1,135.06,173,594.26,645.12
A01_F03_C074_C_200117_3013_20S_000013.283.jpg,1920,1080,1,163.31,180.63,597.2,633.02
A01_F03_C074_C_200117_3013_20S_000013.315.jpg,1920,1080,1,167.12,184.01,595.99,628.91
A01_F03_C074_C_200117_3013_20S_000013.708.jpg,1920,1080,1,229.37,186.97,604.07,636.19
A01_F03_C074_C_200117_3013_20S_000013.739.jpg,1920,1080,1,231.75,187,603.41003,636.15
A01_F03_C074_C_200117_3013_20S_000013.772.jpg,1920,1080,1,233.63,187.5,603.45,644.2
A01_F03_C074_C_200117_3013_20S_000013.872.jpg,1920,1080,1,238.35,185.92,600.89,635.14
A01_F03_C074_C_200117_3013_20S_000013.905.jpg,1920,1080,1,225.57,186.16,601.04004,647.39
A01_F03_C074_C_200117_3013_20S_000013.939.jpg,1920,1080,1,227.46,184.49,600.04,648.54
A01_F03_C074_C_200117_3013_20S_000014.005.jpg,1920,1080,1,213.32,189.76,596.71,632.97
A01_F03_C074_C_200117_3013_20S_000014.039.jpg,1920,1080,1,215.58,189.92,599.05,638.89
A01_F03_C074_C_200117_3013_20S_000014.105.jpg,1920,1080,1,209.56,187.5,596.4,644.78
A01_F03_C074_C_200117_3013_20S_000014.139.jpg,1920,1080,1,210.62,184.77,585.31,633.48
A01_F03_C074_C_200117_3013_20S_000014.239.jpg,1920,1080,1,212.16,187.43,594.94,633.63
A01_F03_C074_C_200117_3013_20S_000014.271.jpg,1920,1080,1,204.21,184.86,593.60004,642.74
A01_F03_C074_C_200117_3013_20S_000014.304.jpg,1920,1080,1,205.57,186.28,594.83,634.04004
A01_F03_C074_C_200117_3013_20S_000014.338.jpg,1920,1080,1,204.22,187.15,593.77,637.75
A01_F03_C074_C_200117_3013_20S_000014.371.jpg,1920,1080,1,204.65,184.46,595.23,639.55
A01_F03_C074_C_200117_3013_20S_000014.405.jpg,1920,1080,1,204.35,186.5,594.26,643.35
A01_F03_C074_C_200117_3013_20S_000014.438.jpg,1920,1080,1,203.68,186.93,592.12,638.18
A01_F03_C074_C_200117_3013_20S_000014.471.jpg,1920,1080,1,206.11,186.97,592.96,644.64
A01_F03_C074_C_200117_3013_20S_000014.539.jpg,1920,1080,1,200.11,187.64,594.73,641.25
A01_F03_C074_C_200117_3013_20S_000014.571.jpg,1920,1080,1,196.15,185.29,593.54004,634.12
A01_F03_C074_C_200117_3013_20S_000014.605.jpg,1920,1080,1,192.64,186.45,592.97,631.97
A01_F03_C074_C_200117_3013_20S_000014.677.jpg,1920,1080,1,197.13,186.97,593.5,635.13
A01_F03_C074_C_200117_3013_20S_000014.729.jpg,1920,1080,1,192.24,189.22,594.55,637.11
A01_F03_C074_C_200117_3013_20S_000014.785.jpg,1920,1080,1,190.85,187.68,593.08997,632.79
A01_F03_C074_C_200117_3013_20S_000014.864.jpg,1920,1080,1,192.77,188.7,590.81,640.14
A01_F03_C074_C_200117_3013_20S_000015.763.jpg,1920,1080,1,200.83,114.57,588.74,633.02
A01_F03_C074_C_200117_3013_20S_000015.790.jpg,1920,1080,1,209.29,112.72,590.6,634.33997
A01_F03_C074_C_200117_3013_20S_000015.815.jpg,1920,1080,1,204.85,114.47,591.7,642.11
A01_F03_C074_C_200117_3013_20S_000015.842.jpg,1920,1080,1,201.98,113.31,590.07,633.07
